claim_id,document_id,document_title,risk_class,assessment_status,disposition,source_match_status,context_type,study_design,scope_summary,limitation_note,paragraph_id,page_start,human_signoff_status,publication_status,reviewer_kind,reviewed_at
CLM-001C22B2134B6AE4DA4A,DOC-000009,The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis,HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,EXACT_NORMALISED_MATCH,UNSPECIFIED_CONTEXT,MICROBIOLOGY_STUDY,只可表述為《The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis》在其自身樣本、方法及條件下的來源記載；研究設計標記為 MICROBIOLOGY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。,目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000009-P0001-P0001-CHK-006610,2,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-01CF46F999A779B19E7B,DOC-000146,Safety Assessment and Contaminants Detection in Different types of Tea and Tea products,HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,EXACT_NORMALISED_MATCH,UNSPECIFIED_CONTEXT,MICROBIOLOGY_STUDY,只可表述為《Safety Assessment and Contaminants Detection in Different types of Tea and Tea products》在其自身樣本、方法及條件下的來源記載；研究設計標記為 MICROBIOLOGY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。,目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000146-P0002-P0003-CHK-007069,2,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-05956299CF112F6286FF,DOC-000456,"Simultaneous Determination and Health Risk Assessment of Four High Detection Rate Pesticide Residues in Pu'er Tea from Yunnan, China.",HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,EXACT_NORMALISED_MATCH,RESULTS_OBSERVATION,SAFETY_STUDY,"只可表述為《Simultaneous Determination and Health Risk Assessment of Four High Detection Rate Pesticide Residues in Pu'er Tea from Yunnan, China.》在其自身樣本、方法及條件下的來源記載；研究設計標記為 SAFETY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。",目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 原件沒有可用 PDF 頁碼，須以標題路徑及段落識別碼定位。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000456-P0001-P0001-CHK-010241,,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-0999C8657B7FB548AD5B,DOC-000146,Safety Assessment and Contaminants Detection in Different types of Tea and Tea products,HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,EXACT_NORMALISED_MATCH,UNSPECIFIED_CONTEXT,MICROBIOLOGY_STUDY,只可表述為《Safety Assessment and Contaminants Detection in Different types of Tea and Tea products》在其自身樣本、方法及條件下的來源記載；研究設計標記為 MICROBIOLOGY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。,目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000146-P0002-P0003-CHK-007069,2,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-0CE3C56AD4E9D8449096,DOC-000009,The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis,HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,EXACT_NORMALISED_MATCH,UNSPECIFIED_CONTEXT,MICROBIOLOGY_STUDY,只可表述為《The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis》在其自身樣本、方法及條件下的來源記載；研究設計標記為 MICROBIOLOGY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。,目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000009-P0001-P0001-CHK-006610,2,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-0F319878F3F50CF303C5,DOC-000009,The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis,HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_AS_INTERPRETATION_ONLY,PUNCTUATION_INSENSITIVE_MATCH,HYPOTHESIS_OR_INFERENCE,MICROBIOLOGY_STUDY,只可表述為《The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis》在其自身樣本、方法及條件下的來源記載；研究設計標記為 MICROBIOLOGY_STUDY。,目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。,DOC-000009-P0001-P0001-CHK-006614,6,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-10A543DE303489531174,DOC-000433,"Kinetics, pathways, mechanism and toxicity evaluation of chiral pesticide Paichongding during the fermentation of Puer tea.",HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,EXACT_NORMALISED_MATCH,RESULTS_OBSERVATION,SAFETY_STUDY,"只可表述為《Kinetics, pathways, mechanism and toxicity evaluation of chiral pesticide Paichongding during the fermentation of Puer tea.》在其自身樣本、方法及條件下的來源記載；研究設計標記為 SAFETY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。",目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 原件沒有可用 PDF 頁碼，須以標題路徑及段落識別碼定位。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000433-P0001-P0001-CHK-009435,,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-14ADC618473FE60B14EF,DOC-000009,The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis,HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,PUNCTUATION_INSENSITIVE_MATCH,UNSPECIFIED_CONTEXT,MICROBIOLOGY_STUDY,只可表述為《The Microbiome and Metabolites in Fermented Pu-erh Tea as Revealed by High-Throughput Sequencing and Quantitative Multiplex Metabolite Analysis》在其自身樣本、方法及條件下的來源記載；研究設計標記為 MICROBIOLOGY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。,目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000009-P0001-P0001-CHK-006620,12,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-1B9705BC5B5C516F3DAA,DOC-000146,Safety Assessment and Contaminants Detection in Different types of Tea and Tea products,HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,EXACT_NORMALISED_MATCH,UNSPECIFIED_CONTEXT,MICROBIOLOGY_STUDY,只可表述為《Safety Assessment and Contaminants Detection in Different types of Tea and Tea products》在其自身樣本、方法及條件下的來源記載；研究設計標記為 MICROBIOLOGY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。,目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000146-P0002-P0003-CHK-007069,2,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
CLM-1D6A3B2558EA858AA7B5,DOC-000456,"Simultaneous Determination and Health Risk Assessment of Four High Detection Rate Pesticide Residues in Pu'er Tea from Yunnan, China.",HIGH_SAFETY,SOURCE_CHECKED_AI_ASSISTED,RETAIN_SAFETY_STUDY_SPECIFIC,EXACT_NORMALISED_MATCH,RESULTS_OBSERVATION,SAFETY_STUDY,"只可表述為《Simultaneous Determination and Health Risk Assessment of Four High Detection Rate Pesticide Residues in Pu'er Tea from Yunnan, China.》在其自身樣本、方法及條件下的來源記載；研究設計標記為 SAFETY_STUDY。結果只代表所抽樣批次、分析物、檢測方法及報告時點。",目前只有一個來源句與一個相連正文段落，尚未完成獨立來源交叉核對。 原件沒有可用 PDF 頁碼，須以標題路徑及段落識別碼定位。 未檢出不代表不存在，檢出亦不自動等於超標或構成個人健康風險。,DOC-000456-P0001-P0001-CHK-010241,,REQUIRED,HOLD,AI_ASSISTED_SOURCE_CHECK,2026-08-12T21:10:37+00:00
