evidence_id,place_id,field_name,value_json,source_id,source_name,source_url,document_id,document_title,locator,evidence_level,retrieved_at,notes
PEV-14AB656EB6BBAD2028A3,PLC-000001,admin_level,"""山頭／鄉級茶區""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628440&format=jsonv2,,,OpenStreetMap relation 18628440; Bulangshan Blang Ethnic Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-840FCDCB76C4F8C8,PLC-000001,admin_level,"""山頭／鄉級茶區""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628440,,,OpenStreetMap relation 18628440（布朗山布朗族鄉）,C,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-81155CF389BDB5959F52,PLC-000001,latitude,21.5856063,SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628440&format=jsonv2,,,OpenStreetMap relation 18628440; Bulangshan Blang Ethnic Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-8C38D81D5A58AF25,PLC-000001,latitude,21.5856063,SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628440,,,OSM relation 18628440；布朗山布朗族鄉標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-582C8B6E999B69878000,PLC-000001,longitude,100.4172655,SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628440&format=jsonv2,,,OpenStreetMap relation 18628440; Bulangshan Blang Ethnic Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-CA769ACF1E2C4A66,PLC-000001,longitude,100.4172655,SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628440,,,OSM relation 18628440；布朗山布朗族鄉標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
PEV-303705F59A3074D98C2F,PLC-000001,parent_place_id,"""PLC-000004""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628440&format=jsonv2,,,OpenStreetMap relation 18628440; Bulangshan Blang Ethnic Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-64E24BF863AFFED8,PLC-000001,parent_place_id,"""PLC-000044""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628440,,,OpenStreetMap relation 18628440（布朗山布朗族鄉）,C,2026-09-12T07:43:33+00:00,策展來源支持名稱、地理層級或包含關係；欄位採知識庫受控值，並不構成產品產地證明。
PEV-EC38A2220F3DFD7C8150,PLC-000001,precision,"""administrative_area_label_point""",SRC-000013,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=R18628440&format=jsonv2,,,OpenStreetMap relation 18628440; Bulangshan Blang Ethnic Township label point,C,2026-08-01T07:58:19+00:00,"同名行政鄉標籤點與茶區名稱對齊；不聲稱為茶區邊界。Data © OpenStreetMap contributors, ODbL 1.0."
PEV-SITE-95F68FDD42E6195D,PLC-000001,precision,"""同名行政鄉的 OSM relation 標籤點；只作茶區近似定位，不代表茶園邊界""",SRC-000013,OpenStreetMap Nominatim,https://www.openstreetmap.org/relation/18628440,,,OSM relation 18628440；布朗山布朗族鄉標籤點,C,2026-09-12T07:43:33+00:00,公開地理資料的標籤點或代表點；不等於行政區幾何中心、茶區邊界或單一茶園位置。
