document_id,title,author,published_date,document_type,source_id,source_url,final_url,fulltext_status,rights_status,license,evidence_level,local_original_path,local_text_path,file_size,page_count,word_count,sha256,ocr_status,quality_status,retrieved_at,content_type,error_message,version,created_at,updated_at,relevance_status,relevance_score,relevance_reason,eligible_for_retrieval,canonical_document_id,is_retrieval_representative
DOC-000001,Public source: https://www.fao.org/3/i4480e/i4480e.pdf,,,public_web_source,SRC-000004,https://www.fao.org/3/i4480e/i4480e.pdf,https://www.fao.org/3/i4480e/i4480e.pdf,DOWNLOAD_FAILED,unknown,unknown,C,,,0,0,0,,not_required,unverified,2026-07-31T09:34:19+00:00,,<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)>,1,2026-07-31T09:33:51+00:00,2026-08-12T21:39:59+00:00,NEEDS_REVIEW,0.0,no reliable tea-domain or exclusion signal,0,DOC-000001,1
DOC-000033,Keystone microbial taxa in the formation of stale aroma during pile fermentation of ripened Pu-erh tea,Yiwei Weng; Shiqiang He; Zhengfei Luo; Jin Sun; Qinghua Cheng; Yingjuan Chen; Huarong Tong,2025-11-12,posted-content,SRC-000002,https://www.researchsquare.com/article/rs-7653483/v1,https://www.researchsquare.com/article/rs-7653483/v1,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000033,1
DOC-000034,IMPACT OF FERMENTATION DEGREE ON THE ANTIOXIDANT ACTIVITY OF PU-ERH TEA IN VITRO,LINGZHI ZHANG; DENGLIANG WANG; WEIXIN CHEN; XINDONG TAN; PENGCHENG WANG,2011-12-21,journal-article,SRC-000002,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1745-4514.2010.00536.x,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1745-4514.2010.00536.x,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000034,1
DOC-000035,Keystone Microbial Taxa in the Formation of Stale Aroma During Pile Fermentation of Ripened Pu-Erh Tea,Yiwei Weng; Shiqiang He; Zhengfei Luo; Jin Sun; Hongwei Dai; Ying-Juan Chen; Huarong Tong,2025,posted-content,SRC-000002,https://doi.org/10.2139/ssrn.5389630,https://doi.org/10.2139/ssrn.5389630,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000033,0
DOC-000036,Characteristics of bacterial community during the pile fermentation of Pu-erh tea in a five-ton batch of Pu-erh tea commercial production process,Rui-Juan Yang; Wei Zhang; Qiao-Mei Wang; Wen-Shu Peng; Jie Lv; Liang Yan; Jun Sheng; Jun Lu,2022-7-8,posted-content,SRC-000002,https://www.researchsquare.com/article/rs-1810590/v1,https://www.researchsquare.com/article/rs-1810590/v1,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000036,1
DOC-000037,Pu-erh Tea Its Manufacturing and Health Benets,,2008-7-9,book-chapter,SRC-000002,https://doi.org/10.1201/9781420008036-6,https://doi.org/10.1201/9781420008036-6,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000037,1
DOC-000038,Dynamic Profiling of Phenolic Acids during Pu-erh Tea Fermentation Using Derivatization Liquid ChromatographyMass Spectrometry Approach,,,component,SRC-000002,https://doi.org/10.1021/acs.jafc.9b00789.s001,https://doi.org/10.1021/acs.jafc.9b00789.s001,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000038,1
DOC-000039,Proteogenomics Study of Blastobotrys adeninivorans TMCC 70007A Dominant Yeast in the Fermentation Process of Pu-erh Tea,,,component,SRC-000002,https://doi.org/10.1021/acs.jproteome.1c00205.s001,https://doi.org/10.1021/acs.jproteome.1c00205.s001,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000039,1
DOC-000040,Proteogenomics Study of Blastobotrys adeninivorans TMCC 70007A Dominant Yeast in the Fermentation Process of Pu-erh Tea,,,component,SRC-000002,https://doi.org/10.1021/acs.jproteome.1c00205.s007,https://doi.org/10.1021/acs.jproteome.1c00205.s007,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000040,1
DOC-000041,Proteogenomics Study of Blastobotrys adeninivorans TMCC 70007A Dominant Yeast in the Fermentation Process of Pu-erh Tea,,,component,SRC-000002,https://doi.org/10.1021/acs.jproteome.1c00205.s003,https://doi.org/10.1021/acs.jproteome.1c00205.s003,METADATA_ONLY,unknown,unknown,B,,,0,0,0,,not_required,unverified,,,,1,2026-07-31T09:58:58+00:00,2026-08-12T21:39:59+00:00,CORE_PUER,1.0,"direct Pu-erh identity marker in title: pu-erh; metadata or fulltext is not locally verified, so retrieval remains disabled",0,DOC-000041,1
