standard_id,standard_number,title,jurisdiction,standard_level,status,publish_date,effective_date,abolished_date,last_review_date,authority,scope,official_url,source_checked_at,notes
STD-000007,DB53/T 1074-2021,普洱茶質量追溯實施規程,雲南省,地方推薦性標準,現行,2021-12-10,2022-03-10,,,雲南省市場監督管理局,普洱茶質量追溯的實施流程與資料要求。,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B67C8C49ADA26CE05397BE0A0A2266,2026-09-12,
STD-000008,DB53/T 1075-2021,普洱茶追溯服務平台建設規範,雲南省,地方推薦性標準,現行,2021-12-10,2022-03-10,,,雲南省市場監督管理局,普洱茶追溯服務平台的建設及資訊技術要求。,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B67C8C49AEA26CE05397BE0A0A2266,2026-09-12,
STD-000009,DB53/T 1157-2023,生態普洱茶生產加工技術規程,雲南省,地方推薦性標準,現行,2023-02-23,2023-05-23,,,雲南省市場監督管理局,生態普洱茶的生產與加工技術；『生態』在此是規範語境，不等同所有市場宣稱。,https://std.samr.gov.cn/db/search/stdDBDetailed?id=FA5F55BD0ED825DEE05397BE0A0AEC93,2026-09-12,
STD-000010,DB5328/T 30-2024,普洱茶標準體系表,雲南省西雙版納傣族自治州,地方推薦性標準,現行,2024-01-02,2024-02-02,,,西雙版納傣族自治州市場監督管理局,普洱茶生產管理相關標準的體系化索引。,https://dbba.sacinfo.org.cn/stdDetail/c49e36175e9710e91e1ac36b92f5b9deec9d4fb69c16ab6f06a788e6d4632e34,2026-09-12,
STD-000026,GB 2762-2025,食品安全國家標準 食品中污染物限量,中國,食品安全國家強制性標準,現行,2025-09-25,2026-09-02,,,國家衛生健康委員會；國家市場監督管理總局,下一版食品污染物限量；在生效前只作轉版準備，不可倒推為現行批次的判定依據。,https://www.nhc.gov.cn/sps/c100088/202509/5dc5e1e2b26d4d27a7913b9e71bbe931.shtml,2026-09-12,已於 2026-09-02 實施，取代 GB 2762-2022；版本資料依發布公告及標準實施日期核對。
STD-000024,GB 2763-2026,食品安全國家標準 食品中農藥最大殘留限量,中國,食品安全國家強制性標準,現行,2026-02-12,2026-03-01,,,國家衛生健康委員會；農業農村部；國家市場監督管理總局,食品中農藥最大殘留限量；判讀茶葉檢測報告時須按農藥名稱、食品類別、限量值、檢測方法及抽樣日期逐項核對。,https://www.nhc.gov.cn/sps/c100088/202602/c0c4a9266f7e43cda1bf3bec59fc2786.shtml,2026-09-12,自 2026-03-01 實施，代替 GB 2763-2021 及 GB 2763.1-2022。
STD-000014,GB/T 14487-2017,茶葉感官審評術語,中國,國家推薦性標準,現行,2017-11-01,2018-05-01,,2021-07-26,全國茶葉標準化技術委員會,茶葉感官審評用語；本庫感官名詞優先對照此標準，但會另標市場俗語。,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A,2026-09-12,
STD-000027,GB/T 20014.12-2013,良好農業規範 第12部分：茶葉控制點與符合性規範,中國,國家推薦性標準,現行,2013-12-31,2014-06-22,,,國家標準化管理委員會,茶葉生產的良好農業規範控制點；可支援種植端風險與記錄框架，但認證、產品標準及檢驗報告仍須分開判讀。,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=BBA5638ACA184D91E1B9955DE805C6BF,2026-09-12,
STD-000001,GB/T 22111-2008,地理標誌產品 普洱茶,中國,國家推薦性標準,現行,2008-06-17,2008-12-01,,2025-08-04,國家知識產權局；全國知識管理標準化技術委員會地理標誌分會執行,普洱茶地理標誌產品的術語、產地範圍、原料、加工及品質要求；閱讀產品定義時的首要規範來源。,https://std.samr.gov.cn/gb/search/gbDetailed?id=oJw0FpayIsM%3D&mode=p,2026-09-12,官方平台顯示現行；2025-08-04 復審結論為繼續有效。
STD-000013,GB/T 23776-2018,茶葉感官審評方法,中國,國家推薦性標準,現行,2018-02-06,2018-06-01,,2021-07-26,全國茶葉標準化技術委員會,各類茶葉感官審評的方法、環境、用具及品質因子；專業審評與日常沖泡不能混為一談。,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A,2026-09-12,
