document_id,title,author,published_date,document_type,source_name,source_url,doi,evidence_level,rights_status,license,fulltext_status,word_count,page_count,topics
DOC-000196,Metabolomic dynamics of flavor compound synthesis in Pu’er green tea produced from Camellia sinensis var. assamica under seasonal variation,Yuchen Wang; Ling Zhu; Sisi Liu; Lili Ye; Dongsheng Li; Fan Gong,2026-07-03,journal_article,OpenAlex,https://www.nature.com/articles/s41598-026-61192-4_reference.pdf,https://doi.org/10.1038/s41598-026-61192-4,B,OPEN_ACCESS,cc-by-nc-nd,FULL_PDF,9986,38,chemistry:CORE | cultivar:CORE | sensory:CORE | culture:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | safety:MENTIONS | standards:MENTIONS | terroir:MENTIONS
DOC-000404,Metabolomic and Sensory Insights into the Aging Mechanism of Ripened Pu-Erh Tea over Nine Years.,Bo N; Wang T; Chen Q; Guan Y; Yang D; Yang F; Gao H; Tao X; Liang P; Cai B; Pan G; Zhou Y; Zhao M,2026-06-03,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13258448/fullTextXML,10.3390/molecules31111937,B,OPEN_ACCESS,cc by,FULL_TEXT,6972,0,chemistry:CORE | sensory:CORE | storage:CORE | cultivar:MENTIONS | fermentation:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
DOC-000428,Revealing the Differences in Taste/Mouthfeel Quality of Raw Pu-erh Tea Under Different Drying Methods Based on Nontargeted and Targeted Metabolomics.,Luo Z; Ma L; Wan F; Liu X; Zhang Y; Xu T; Su Q; Cao D; Liu Y; Yan X; Jin X,2026-05-28,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13256823/fullTextXML,10.3390/foods15111918,B,OPEN_ACCESS,cc by,FULL_TEXT,5045,0,chemistry:CORE | processing:CORE | sensory:CORE | cultivar:MENTIONS | fermentation:MENTIONS | geography:MENTIONS | production:MENTIONS | standards:MENTIONS | storage:MENTIONS
DOC-000201,A systematic review on criteria for land suitability assessment for tea cultivation,Finias F. Mwesige; Boniface H. J. Massawe; Hilda G. Sanga; Braison E. Mjanja,2026-05-22,review,OpenAlex,https://www.frontiersin.org/journals/agronomy/articles/10.3389/fagro.2026.1819514/pdf,https://doi.org/10.3389/fagro.2026.1819514,B,OPEN_ACCESS,cc-by,FULL_PDF,19831,23,terroir:SUBSTANTIVE | chemistry:MENTIONS | cultivar:MENTIONS | culture:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | standards:MENTIONS
DOC-000202,"Multi-dimensional regulation of tea leaf development: morphogenesis, hormone–transcriptional networks, environmental factors, and artificial cultivation practices",Can Xu; Xiang Liu; Shun Li; Simian Fei; Jihui Tan; Fang Zhou; Kunbo Wang; Yong Luo,2026-03-30,journal_article,OpenAlex,https://public-pages-files-2025.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2026.1792941/pdf,https://doi.org/10.3389/fpls.2026.1792941,B,OPEN_ACCESS,cc-by,FULL_PDF,18859,20,standards:CORE | chemistry:MENTIONS | cultivar:MENTIONS | geography:MENTIONS | history:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | production:MENTIONS | sensory:MENTIONS | terroir:MENTIONS
DOC-000408,Dynamic Evolution of Aroma Characteristics in Ripened Pu-Erh Tea During Industrial Fermentation: Insights from GC-MS and Flavor Wheel Analysis.,Guan Y; Chen Q; Bo N; Yang D; Yang F; Gao H; Tao X; Liang P; Pan G; Cai B; Zhou Y; Zhang H; Peng S; Shi L; Wang T,2026-03-13,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13025987/fullTextXML,10.3390/foods15061014,B,OPEN_ACCESS,cc by,FULL_TEXT,4400,0,fermentation:CORE | sensory:CORE | chemistry:SUBSTANTIVE | standards:SUBSTANTIVE | cultivar:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS
DOC-000403,"Decoding long-term aging of ripened Pu-erh tea: sensory equilibrium, metabolic pathways, and chemical markers.",Zheng X; Bai S; Chen D; Wen S; Wang L; An H; Liang H; Yao H; Chen Y; Chen H; Zhang J; Xue Y; Huang J; Liu Z,2026-03-11,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13000720/fullTextXML,10.1016/j.fochx.2026.103755,B,OPEN_ACCESS,cc by-nc,FULL_TEXT,5930,0,chemistry:CORE | sensory:CORE | storage:CORE | cultivar:MENTIONS | culture:MENTIONS | fermentation:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
DOC-000469,Pu-erh tea attenuates obesity by remodeling gut microbiota and activating energy expenditure.,Jiang X; Wu F; Xu M; Luo L; Zeng L,2026-01-15,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12853662/fullTextXML,10.3389/fmicb.2025.1752456,B,OPEN_ACCESS,cc by,FULL_TEXT,7110,0,microbiology:CORE | chemistry:MENTIONS | fermentation:MENTIONS | geography:MENTIONS | industry:MENTIONS | production:MENTIONS | standards:MENTIONS | storage:MENTIONS
DOC-000195,Phenotypic feature-based identification of tea geographical origin using lightweight deep learning,Guoquan Pei; Bing Zhou; Xueying Qian; Baijuan Wang; Wei Chen; Wendou Wu,2026-01-09,journal_article,OpenAlex,https://www.nature.com/articles/s41538-025-00690-7_reference.pdf,https://doi.org/10.1038/s41538-025-00690-7,B,OPEN_ACCESS,cc-by-nc-nd,FULL_PDF,13929,36,geography:CORE | chemistry:MENTIONS | cultivar:MENTIONS | industry:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | standards:MENTIONS | terroir:MENTIONS
DOC-000406,Multiscale mechanistic insights into sonochemical energy coupling and flavor evolution in Pu‑erh tea.,Duan S; Luo H; Yu L; Dong J; Qiao Z; Liu S; Li Y; Yin H; Zhou R; Chen Y; Zhou S; Gong C; Shen Y; Du Z; Feng L; Du X; Sheng J; Yang R; Fang C,2026-01-01,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12882671/fullTextXML,10.1016/j.ultsonch.2025.107735,B,OPEN_ACCESS,cc by,FULL_TEXT,16339,0,chemistry:CORE | sensory:CORE | fermentation:SUBSTANTIVE | microbiology:SUBSTANTIVE | cultivar:MENTIONS | geography:MENTIONS | industry:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS | storage:MENTIONS | terroir:MENTIONS
DOC-000427,ECS-tea: a bio-inspired high-precision detection and localization algorithm for young shoots of Pu-erh tea.,Wang J; Li W; Xu J; Ti H; Jiang C; Liao H; Li J; Li Q,2025-12-03,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12710504/fullTextXML,10.3389/fpls.2025.1697209,B,OPEN_ACCESS,cc by,FULL_TEXT,7434,0,culture:SUBSTANTIVE | cultivar:MENTIONS | geography:MENTIONS | industry:MENTIONS | mountain_and_village:MENTIONS | processing:MENTIONS | sensory:MENTIONS | standards:MENTIONS | terroir:MENTIONS
DOC-000443,"Heavy Metals in the Soil-Coffee System of Pu'er, China, a Major Coffee Producing Region in China: Distribution and Health Risks.",Zhou X; Yang T; Hao Y; Li J; Du B; Yang S; Miao X,2025-11-01,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12656080/fullTextXML,10.3390/toxics13110944,B,OPEN_ACCESS,cc by,FULL_TEXT,4996,0,geography:CORE | terroir:CORE | cultivar:MENTIONS | industry:MENTIONS | production:MENTIONS | standards:MENTIONS | storage:MENTIONS
DOC-000459,"Ultrasound-assisted hot water extraction of yellow leaves of Pu'er tea polysaccharides: Extraction process, characterization, antioxidant and hypoglycemic activity.",Zhao A; Sun L; Xu F; Gan W; Guo B; Jiang L; Wu X,2025-10-27,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12615759/fullTextXML,10.1016/j.ultsonch.2025.107653,B,OPEN_ACCESS,cc by-nc,FULL_TEXT,6670,0,fermentation:MENTIONS | geography:MENTIONS | history:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | standards:MENTIONS
DOC-000438,"Unraveling the Key Odorants in Floral-Fruity Aroma Pu-Erh Tea via GC-O-MS, GC-MS/MS, Aroma Recombination, and Omission Tests.",Zhou X; Hu J; Cui H; Tang J; Jiang Y; Yuan H; Li J; Yang Y,2025-09-17,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12469430/fullTextXML,10.3390/foods14183223,B,OPEN_ACCESS,cc by,FULL_TEXT,4377,0,sensory:CORE | chemistry:MENTIONS | cultivar:MENTIONS | geography:MENTIONS | industry:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
DOC-000478,Initial Sugar Concentration on Sensory Characteristics of Raw Pu-Erh Tea Kombucha and Multi-Omics Analysis of the Fermentation Process Under Optimal Sugar Concentration.,Yao L; Ma H; Cao H; Feng T; Wang H; Yu C; Sun M,2025-09-16,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12469587/fullTextXML,10.3390/foods14183216,B,OPEN_ACCESS,cc by,FULL_TEXT,7388,0,fermentation:CORE | sensory:CORE | chemistry:SUBSTANTIVE | microbiology:SUBSTANTIVE | cultivar:MENTIONS | culture:MENTIONS | geography:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
DOC-000458,"Effects of Region, Processing, and Their Interaction on the Elemental Profiles of Pu-Erh Tea.",Li YL; Jiang HY; Chen MM; Wang XL; Liu HY; Zou HD; Zhang BW; Xu YL; Qian LL,2025-08-17,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12385689/fullTextXML,10.3390/foods14162848,B,OPEN_ACCESS,cc by,FULL_TEXT,4786,0,geography:CORE | processing:CORE | standards:SUBSTANTIVE | cultivar:MENTIONS | fermentation:MENTIONS | industry:MENTIONS | production:MENTIONS | sensory:MENTIONS | terroir:MENTIONS
DOC-000426,Integrated Microbiome-Metabolome Analysis and Functional Strain Validation Reveal Key Biochemical Transformations During Pu-erh Tea Pile Fermentation.,Hu M; Zhang H; Han L; Zhang W; Xing X; Wang Y; Ou S; Liu Y; Li X; Xue Z,2025-08-08,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12388847/fullTextXML,10.3390/microorganisms13081857,B,OPEN_ACCESS,cc by,FULL_TEXT,8204,0,chemistry:CORE | fermentation:CORE | microbiology:CORE | sensory:SUBSTANTIVE | cultivar:MENTIONS | culture:MENTIONS | geography:MENTIONS | processing:MENTIONS | production:MENTIONS
DOC-000487,"Tea Consumption and Diabetes: A Comprehensive Pharmacological Review of Black, White, Green, Oolong, and Pu-erh Teas.",Erukainure OL; Chukwuma CI; Nambooze J; Tripathy S; Salau VF; Olofinsan K; Ogunlakin AD; Ebuehi OAT; Unuofin JO,2025-06-20,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12251921/fullTextXML,10.3390/plants14131898,B,OPEN_ACCESS,cc by,FULL_TEXT,12369,0,chemistry:SUBSTANTIVE | cultivar:MENTIONS | culture:MENTIONS | fermentation:MENTIONS | geography:MENTIONS | microbiology:MENTIONS | processing:MENTIONS | production:MENTIONS | sensory:MENTIONS | standards:MENTIONS | storage:MENTIONS
DOC-000453,An Efficient and Safe Rapid Aging Technology for Tea: UV-C Irradiation Enhances the Taste and Aroma of Fresh Pu'er Raw Tea Toward a Naturally Aged Profile.,Zhang X; Feng X; Pan Y; Wuzeng H; Wang X; Yan A; Xiang L; Lin Y; Chen P; Chu Q; Liu L,2025-06-16,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12196798/fullTextXML,10.3390/plants14121851,B,OPEN_ACCESS,cc by,FULL_TEXT,5521,0,sensory:CORE | storage:CORE | chemistry:SUBSTANTIVE | geography:MENTIONS | industry:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
DOC-000434,Flavor Quality and Lipid-Lowering Function of Mixed Fermented Pu-erh Tea with Various Monascus Species.,Chen X; Hu Y; Zeng Z; Zhang X; Huang Y,2025-05-26,research_article,Europe PMC,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12154036/fullTextXML,10.3390/foods14111894,B,OPEN_ACCESS,cc by,FULL_TEXT,7900,0,fermentation:CORE | sensory:CORE | chemistry:SUBSTANTIVE | microbiology:SUBSTANTIVE | cultivar:MENTIONS | culture:MENTIONS | geography:MENTIONS | industry:MENTIONS | processing:MENTIONS | production:MENTIONS | standards:MENTIONS
