person_id,display_name,primary_institution,relevant_work_count,identity_notes,identifiers,official_page,conflict_notes,reviewed_at
PER-004019,Aihua Zhao,Shanghai Jiao Tong University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 50%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5103203078"", ""orcid"": ""https://orcid.org/0000-0003-0201-3940""}",https://orcid.org/0000-0003-0201-3940,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004330,Bao Lin Guo,Northeast Agricultural University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5111926238"", ""orcid"": null}",https://openalex.org/A5111926238,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004264,Baoxiang Gu,Sichuan University of Science and Engineering,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5103430141"", ""orcid"": null}",https://openalex.org/A5103430141,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004064,Bei Cai,Yunnan Agricultural University,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 75%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5128485886"", ""orcid"": null}",https://openalex.org/A5128485886,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000722,Benying Liu,Tea Research Institute,3,主要機構只按本庫中 3 篇普洱茶相關作品的作者機構統計推定（加權占比 63%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5040141379"", ""orcid"": ""https://orcid.org/0000-0001-9241-4240""}",https://orcid.org/0000-0001-9241-4240,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000417,Bin Jiang,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 48%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5101754203"", ""orcid"": ""https://orcid.org/0000-0002-5901-2044""}",https://orcid.org/0000-0002-5901-2044,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004248,Bin Liang,Kunming Institute of Zoology,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 50%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5013703026"", ""orcid"": ""https://orcid.org/0000-0001-9131-5478""}",https://orcid.org/0000-0001-9131-5478,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-001327,Binxing Zhou,Yunnan Agricultural University,4,主要機構只按本庫中 4 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5080233564"", ""orcid"": ""https://orcid.org/0000-0002-0015-5817""}",https://orcid.org/0000-0002-0015-5817,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000418,Bo Nian,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5006542140"", ""orcid"": ""https://orcid.org/0000-0002-1773-2211""}",https://orcid.org/0000-0002-1773-2211,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004412,Bo Shan,Yunnan Agricultural University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5030579701"", ""orcid"": ""https://orcid.org/0000-0002-1675-5809""}",https://orcid.org/0000-0002-1675-5809,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004324,Bowen Zhang,Chinese Academy of Agricultural Sciences,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 67%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5100385161"", ""orcid"": ""https://orcid.org/0000-0003-1304-0899""}",https://orcid.org/0000-0003-1304-0899,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-000019,Chao Yan,Shanghai Jiao Tong University,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5101641854"", ""orcid"": ""https://orcid.org/0000-0002-9232-0559""}",https://orcid.org/0000-0002-9232-0559,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
PER-004254,Chaohua Lan,Sichuan University of Science and Engineering,2,主要機構只按本庫中 2 篇普洱茶相關作品的作者機構統計推定（加權占比 100%）；不等同現職。,"{""openalex"": ""https://openalex.org/A5086406532"", ""orcid"": ""https://orcid.org/0000-0001-6989-7715""}",https://orcid.org/0000-0001-6989-7715,"Commercial/brand relationship: not identified in the cited scholarly identity/output records; this is an explicit unknown, not evidence of absence, and must be re-checked before endorsement or other high-stakes use.",2026-09-12T07:43:33+00:00
