sensory_term_id,term_traditional,term_simplified,pinyin,english,category,definition,operational_note,reference_materials,similar_terms,contrast_terms,defect_flag,sources,curation_status,updated_at
SEN-000005,勻整,匀整,yún zhěng,even appearance,乾茶外形,樣品在粗細、長短、色澤與完整度方面分布較一致。,可分開記錄大小勻度與色澤勻度，避免以單一印象代替觀察。,,潔淨,雜夾 | 斷碎,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000009,斷碎,断碎,duàn suì,broken leaf,乾茶外形,樣品中碎葉、斷條或細末比例較高，完整葉條較少。,應記錄取樣與拆茶方式，因運輸、撬取及篩分都可改變斷碎程度。,,雜夾,勻整,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000001,條索,条索,tiáo suǒ,leaf style,乾茶外形,描述散茶或緊壓茶拆解後，芽、葉及梗所形成的長短、粗細、彎直與完整程度。,記錄時先描述可見形態，再判斷整齊度；不可由條索直接推斷樹齡或山頭。,,緊結 | 肥壯,斷碎,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000007,油潤,油润,yóu rùn,lustrous,乾茶外形,乾茶表面呈自然光澤、色澤不枯暗的視覺屬性。,使用一致光源和觀察角度；不可把外加油脂或過度反光誤作正常油潤。,,色澤褐潤,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000006,潔淨,洁净,jié jìng,clean appearance,乾茶外形,視覺檢查未見明顯非茶夾雜物、污染物或不屬於樣品規格的物料。,感官潔淨不等於食品安全合格；異物、污染物及農殘仍須按抽樣和檢測方法確認。,,勻整,雜夾,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000012,緊壓端正,紧压端正,jǐn yā duān zhèng,well-formed compressed shape,乾茶外形,餅、磚、沱等緊壓茶輪廓規整，厚薄及邊緣大致均勻。,另記鬆緊度、脫面、裂隙及內外用料；端正只屬外形，不代表內質。,,勻整,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000002,緊結,紧结,jǐn jié,tightly rolled,乾茶外形,葉條捲結較緊、組織感密實，視覺上不顯鬆散。,只描述成形狀態；須與原料嫩度、揉捻方式及乾燥條件分開記錄。,,條索,鬆泡,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000003,肥壯,肥壮,féi zhuàng,stout,乾茶外形,芽葉較粗大、飽滿而具厚實感的外形描述。,應與同批樣品比較；肥壯不等於品質必然較高，也不能單獨證明大葉種或古樹。,,條索 | 葉底肥厚,斷碎,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000011,色澤褐潤,色泽褐润,sè zé hè rùn,brown and lustrous,乾茶外形,乾茶以褐色調為主，並呈自然、均勻而不枯暗的光澤。,須與茶類、年份及製程一起記錄；褐色不能單獨用來判斷熟茶或陳年。,,油潤,,0,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
SEN-000010,雜夾,杂夹,zá jiā,extraneous matter,乾茶外形,樣品中出現不屬於既定茶葉規格的茶梗、老葉或非茶物料。,先客觀列出物料種類與比例；是否構成不合格須依產品標準及抽樣結果判定。,,斷碎,潔淨 | 勻整,1,"[{""label"": ""GB/T 14487-2017《茶葉感官審評術語》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8225AD3A7E05397BE0A0AB82A""}, {""label"": ""GB/T 23776-2018《茶葉感官審評方法》官方記錄"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82CD3D3A7E05397BE0A0AB82A""}]",SOURCE_CHECKED,2026-09-12T07:43:33+00:00
