place_id,standard_name,traditional_name,simplified_name,pinyin,place_kind,admin_level,parent_place_id,latitude,longitude,altitude_min,altitude_max,precision,summary,ecology,communities,heritage_role,dispute_notes,sources
PLC-000001,布朗山,布朗山,布朗山,Bulang Shan,山地茶區,山頭／鄉級茶區,PLC-000044,21.5856063,100.4172655,,,同名行政鄉的 OSM relation 標籤點；只作茶區近似定位，不代表茶園邊界,西雙版納勐海縣南部常見的普洱茶產區名稱；網站將行政地名、山地、村寨及商品標示分開處理。,目前資料庫缺少可比較的村寨級土壤、微氣候與管理資料，不作單一風味定論。,布朗族等,,商業所稱『布朗山』可能指不同空間尺度；產品產地仍須批次證明。,"[{""label"": ""OpenStreetMap relation 18628440（布朗山布朗族鄉）"", ""url"": ""https://www.openstreetmap.org/relation/18628440""}]"
PLC-000002,景邁山,景邁山,景迈山,Jingmai Shan,文化景觀／茶山,山地文化景觀／世界遺產地,PLC-000012,22.1841667,100.0075,,,UNESCO 世界遺產項目公布參考點；不代表整個景觀或單一茶園,2023 年列入《世界遺產名錄》的文化景觀，突出布朗族與傣族在森林下種茶、村寨治理及祖先信仰相連的土地利用傳統。,茶樹生長於森林冠層之下，保護森林、古茶林與村寨形成垂直及水平相連的土地利用系統。,布朗族 | 傣族,"包括五片古茶林、九個傳統村寨和三片分隔防護林；遺產面積 7,167.89 公頃，緩衝區 11,927.85 公頃。",世界遺產邊界包括多個森林、村寨與防護林；不可把參考點當成所有構成要素的精確座標。,"[{""label"": ""UNESCO：Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er"", ""url"": ""https://whc.unesco.org/en/list/1665""}]"
PLC-000003,雲南省,雲南省,云南省,Yunnan Sheng,行政區,省,,25.0,102.0,,,OSM 行政區 relation 標籤點；非省域幾何中心或茶園位置,中國西南茶樹種質、普洱茶生產及多民族茶文化的重要區域；網站內所有雲南產區均應再細分至州、市、縣、鄉鎮、村寨或研究採樣點。,省域跨越多種海拔、季風與土壤條件，不能以單一『雲南風土』概括。,,景邁山文化景觀所在地省份。,座標僅供區域定位，不代表茶區中心。,"[{""label"": ""UNESCO 景邁山世界遺產頁"", ""url"": ""https://whc.unesco.org/en/list/1665""}]"
PLC-000004,西雙版納傣族自治州,西雙版納傣族自治州,西双版纳傣族自治州,Xishuangbanna Daizu Zizhizhou,行政區／茶產區,自治州,PLC-000003,22.0116128,100.7960029,,,OSM 行政區 relation 標籤點；非自治州幾何中心或茶園位置,雲南重要茶樹種質、栽培與普洱茶原料產區，內部涵蓋多個縣、市、山地與村寨。,熱帶、亞熱帶山地環境多樣，研究結論須保留採樣地尺度。,傣族 | 布朗族 | 哈尼族等,與普洱市共同構成雲南南部重要茶文化地域。,概略座標不可作山頭或茶園溯源證據。,"[{""label"": ""FAO 家庭農業知識平台：普洱茶農業文化系統"", ""url"": ""https://www.fao.org/family-farming/detail/zh/c/282396/""}]"
PLC-000005,勐宋茶區,勐宋茶區,勐宋茶区,Mengsong Tea Area,山地茶區,茶區／鄉級地名,PLC-000044,22.0546005,100.563337,,,同名行政鄉的 OSM relation 標籤點；只作茶區近似定位，不代表茶園邊界,西雙版納常見茶區名稱；公開內容暫只提供地理辨識與證據限制。,待補村寨級、可引用的生態與栽培資料。,,,同名地點及商業用法可能造成混淆，引用時須交代縣域和村寨。,"[{""label"": ""OpenStreetMap relation 18628625（勐宋鄉）"", ""url"": ""https://www.openstreetmap.org/relation/18628625""}]"
PLC-000006,班章茶區,班章茶區,班章茶区,Banzhang Tea Area,村寨／商業常用產區名,茶區／行政村,PLC-000001,,,,,未收錄可靠座標,班章是市場常見的產地名稱。引用時須說清所指村寨或茶區，並核對原料批次與來源記錄。,缺少統一、可驗證且村寨尺度一致的比較資料。,,,『班章』『老班章』『新班章』及商品名稱不可互換；目前不提供虛構座標。,"[{""label"": ""DB53/T 1176.13—2023 行政村編碼表（布朗山鄉、班章村）"", ""url"": ""https://ynmz.yn.gov.cn/uploads/resource/download/20937/DB53_T_1176.13-2023%E4%BA%91%E5%8D%97%E7%9C%81%E8%A1%8C%E6%94%BF%E6%9D%91%E3%80%81%E7%A4%BE%E5%8C%BA%E7%BC%96%E7%A0%81_%E7%AC%AC13%E9%83%A8%E5%88%86%EF%BC%9A%E8%A5%BF%E5%8F%8C%E7%89%88%E7%BA%B3%E5%82%A3%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E.pdf""}]"
PLC-000007,賀開茶山,賀開茶山,贺开茶山,Hekai Tea Mountain,山地茶區,茶山／行政村,PLC-000044,,,,,未收錄可靠座標,西雙版納常見古茶園產區名；目前公開頁保留地名辨析，不以市場敘事補充未驗證歷史。,待補正式調查或研究的茶園尺度資料。,,,茶山、村委會和商品產區可能使用相同名稱但邊界不同。,"[{""label"": ""雲南省民族宗教事務委員會：勐海縣勐混鎮賀開村"", ""url"": ""https://mz.yn.gov.cn/html/2025/difangdongtai_0325/4058616.html""}]"
PLC-000008,普洱市,普洱市,普洱市,Pu'er Shi,行政區／研究與產業中心,地級市,PLC-000003,23.2948942,100.8784458,,,OSM 行政區 relation 標籤點；非市域幾何中心或茶園位置,普洱市是雲南主要茶產區及研究、教育、檢驗與產業機構集中地之一，轄區內的山地生態和製茶傳統並不均質。,地形與海拔差異顯著；網站不以市級座標推定任何村寨茶樣的風土。,哈尼族 | 拉祜族 | 佤族 | 傣族 | 布朗族等,景邁山古茶林文化景觀位於普洱市瀾滄縣。,行政區與普洱茶地理標誌產品保護範圍不是同一概念。,"[{""label"": ""UNESCO 景邁山世界遺產頁"", ""url"": ""https://whc.unesco.org/en/list/1665""}, {""label"": ""普洱學院"", ""url"": ""https://www.peu.edu.cn/""}]"
PLC-000009,Longba village plantation,龍壩村茶園（研究採樣點譯名）,龙坝村茶园（研究采样点译名）,Longba Village Plantation,研究採樣點,茶園研究採樣點,PLC-000008,23.3833333333,101.7833333333,1575.0,1796.0,研究採樣位置（座標至整分）；未作獨立實地核驗,由學術文獻抽取的茶園採樣位置，作用是追溯樣本語境，不代表一個普遍認可的商業山頭。,生態與測量結果只適用於原研究設計、時間及樣本。,,,中文名為工作譯名，引用時應保留原文地名及原研究。,"[{""label"": ""採樣位置與海拔的本地全文研究"", ""document_id"": ""DOC-000196""}]"
PLC-000010,Fenghuang Wo village plantation,鳳凰窩村茶園（研究採樣點譯名）,凤凰窝村茶园（研究采样点译名）,Fenghuang Wo Village Plantation,研究採樣點,茶園研究採樣點,PLC-000008,23.4833333333,101.65,1618.0,1783.0,研究採樣位置（座標至整分）；未作獨立實地核驗,由學術文獻抽取的茶園採樣位置，作用是追溯樣本語境，不代表一個普遍認可的商業山頭。,生態與測量結果只適用於原研究設計、時間及樣本。,,,中文名為工作譯名，引用時應保留原文地名及原研究。,"[{""label"": ""採樣位置與海拔的本地全文研究"", ""document_id"": ""DOC-000196""}]"
