term_id,term_traditional,term_simplified,pinyin,english,category,definition,aliases,sources,updated_at
GLS-000063,乾基,干基,gan ji,dry-weight basis,化學,把含量換算至不含水樣品質量的表示基準；與濕基數值不可直接混用。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000060,代謝組學,代谢组学,dai xie zu xue,metabolomics,化學,用儀器與統計方法同時觀察大量小分子特徵的研究策略，辨識結果受平台及資料處理影響。,,"[{""label"": ""化學研究文獻集"", ""url"": ""/library/documents/?topic=chemistry""}]",2026-09-12
GLS-000052,兒茶素,儿茶素,er cha su,catechins,化學,茶葉重要黃烷醇類成分的總稱，包括多種單體，各自含量與反應性不同。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000056,可溶性糖,可溶性糖,ke rong xing tang,soluble sugars,化學,可溶於指定萃取條件的一組糖類，會參與滋味與加工轉化。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000053,咖啡因,咖啡因,ka fei yin,caffeine,化學,茶葉主要嘌呤生物鹼之一，實際攝入量受茶樣、茶水比、溫度與沖泡時間影響。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000059,揮發性成分,挥发性成分,hui fa xing cheng fen,volatile compounds,化學,可進入氣相並由相應方法檢出的化合物集合，與香氣相關但不必然能被人感知。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000057,有機酸,有机酸,you ji suan,organic acids,化學,茶葉及發酵中可測得的多類酸性有機化合物，可能影響酸度、滋味及代謝。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000065,標準品,标准品,biao zhun pin,analytical reference standard,化學,用於確認、校準或定量分析物的已知參考物質；欠缺標準品時的暫定鑑定須清楚標示。,,"[{""label"": ""證據閱讀指南"", ""url"": ""/learn/how-to-read-evidence/""}]",2026-09-12
GLS-000058,水浸出物,水浸出物,shui jin chu wu,water extract,化學,按規定方法測得、可被水萃取的物質總量，涵蓋多種可溶性成分。,,"[{""label"": ""GB/T 22111-2008"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=oJw0FpayIsM%3D&mode=p""}]",2026-09-12
GLS-000054,游離氨基酸,游离氨基酸,you li an ji suan,free amino acids,化學,未結合於蛋白質、可被分析與萃取的一組氨基酸，常與滋味研究一併討論。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000064,濕基,湿基,shi ji,wet-weight basis,化學,以樣品當前含水狀態總質量為分母的表示基準。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000061,色譜,色谱,se pu,chromatography,化學,依化合物在固定相與流動相之間行為差異進行分離的分析技術。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000051,茶多酚,茶多酚,cha duo fen,tea polyphenols,化學,茶葉中多類酚性化合物的集合性分析指標；測定方法不同，數值未必可直接比較。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000055,茶氨酸,茶氨酸,cha an suan,theanine,化學,茶葉中具代表性的非蛋白質氨基酸；含量及攝入量不能直接等同臨床效果。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000062,質譜,质谱,zhi pu,mass spectrometry,化學,依離子質荷比分析化合物的技術，常與色譜聯用；鑑定可信度取決於標準品與譜庫等證據。,,"[{""label"": ""化學成分頁"", ""url"": ""/science/chemistry/""}]",2026-09-12
GLS-000010,古樹茶,古树茶,gu shu cha,old-tree tea,基礎,市場及地方語境常用的樹齡／樹體聲稱，尚須交代年齡判準、測量方法、產地及批次，不能只憑名稱證明。,,"[{""label"": ""知識庫證據指南"", ""url"": ""/learn/how-to-read-evidence/""}]",2026-09-12
GLS-000009,嘜號,唛号,mai hao,recipe or lot code,基礎,行業中用於識別配方、規格或批次的編碼；不同企業及年代的規則可能不同，不能離開生產者資料解讀。,,"[{""label"": ""知識庫方法頁"", ""url"": ""/evidence/methodology/""}]",2026-09-12
GLS-000007,地理標誌產品,地理标志产品,di li biao zhi chan pin,geographical indication product,基礎,品質、聲譽或其他特徵與特定地域相關，並按相應制度及標準管理的產品；不是單靠地名即可成立。,,"[{""label"": ""GB/T 22111-2008"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=oJw0FpayIsM%3D&mode=p""}]",2026-09-12
GLS-000008,批次,批次,pi ci,batch / lot,基礎,在可界定時間與條件下生產或處理、用於追溯與抽樣的一組產品。,,"[{""label"": ""DB53/T 1074-2021"", ""url"": ""https://dbba.sacinfo.org.cn/""}]",2026-09-12
GLS-000005,散茶,散茶,san cha,loose tea,基礎,未壓成固定形狀、以散裝葉片形態存在的茶。,,"[{""label"": ""GB/T 22111-2008"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=oJw0FpayIsM%3D&mode=p""}]",2026-09-12
GLS-000001,普洱茶,普洱茶,pu er cha,Pu-erh tea,基礎,在不同語境可指依特定原料與工藝製成的茶類，或符合地理標誌產品標準的產品；引用時須說明採用的定義。,,"[{""label"": ""GB/T 22111-2008"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=oJw0FpayIsM%3D&mode=p""}]",2026-09-12T07:43:33+00:00
GLS-000004,曬青毛茶,晒青毛茶,shai qing mao cha,sun-dried crude tea,基礎,鮮葉經殺青、揉捻及日光乾燥等初製環節形成、供後續精製或壓製使用的毛茶。,,"[{""label"": ""DB5308/T 58-2020"", ""url"": ""https://dbba.sacinfo.org.cn/""}]",2026-09-12T07:43:33+00:00
GLS-000003,熟茶,熟茶,shu cha,ripe Pu-erh,基礎,以曬青毛茶經渥堆發酵等工序製成的普洱茶產品類型。,普洱熟茶,"[{""label"": ""GB/T 22111-2008"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=oJw0FpayIsM%3D&mode=p""}]",2026-09-12T07:43:33+00:00
GLS-000002,生茶,生茶,sheng cha,raw Pu-erh,基礎,未經熟茶渥堆工序的普洱茶產品類型。GB/T 22111-2008 的生茶定義包括以曬青茶蒸壓成形等工序；市場所稱「散生茶」須再分清毛茶與成品用語。,普洱生茶,"[{""label"": ""GB/T 22111-2008"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=oJw0FpayIsM%3D&mode=p""}]",2026-09-12T07:43:33+00:00
GLS-000006,緊壓茶,紧压茶,jin ya cha,compressed tea,基礎,經蒸軟、模壓或其他成形程序製成餅、磚、沱等形態的茶。,,"[{""label"": ""GH/T 1124-2016"", ""url"": ""https://hbba.sacinfo.org.cn/""}]",2026-09-12
GLS-000071,培養法,培养法,pei yang fa,culture-based method,微生物,在指定培養基與環境下分離或計數可生長微生物的方法，只涵蓋可在該條件生長的部分。,,"[{""label"": ""微生物學頁"", ""url"": ""/science/microbiology/""}]",2026-09-12
GLS-000073,宏基因組,宏基因组,hong ji yin zu,metagenome,微生物,直接分析群落總 DNA 的方法，可描述分類與功能潛力，但不等於功能正在表達。,,"[{""label"": ""微生物學頁"", ""url"": ""/science/microbiology/""}]",2026-09-12
GLS-000072,擴增子測序,扩增子测序,kuo zeng zi ce xu,amplicon sequencing,微生物,擴增特定標記基因區域後測序，用以估計群落組成；結果受引物、資料庫與流程影響。,,"[{""label"": ""微生物學頁"", ""url"": ""/science/microbiology/""}]",2026-09-12
GLS-000074,相對豐度,相对丰度,xiang dui feng du,relative abundance,微生物,某分類序列佔樣本總序列的比例；比例增加不必然代表絕對數量增加。,,"[{""label"": ""微生物學頁"", ""url"": ""/science/microbiology/""}]",2026-09-12
