historical_source_id,title_traditional,title_simplified,creator,work_date,edition_date,source_type,geographic_scope,relevance_summary,source_criticism,official_or_archive_url,local_document_id,rights_status,transcription_status,curation_status,updated_at
HIS-000005,《徐霞客遊記·滇遊日記》,《徐霞客游记·滇游日记》,徐弘祖（徐霞客）,1638–1640年雲南行程,維基文庫轉錄及公開影印本,旅行日記,滇西、滇中等徐霞客實際行程,可用來重建明末雲南道路、聚落、物產與旅行觀察，並協助檢查後世茶馬古道敘事是否符合其實際路線。,旅行者只記所經之地與所見所聞，沉默不代表某處沒有茶；版本、日期與地名對讀是引用前提。,https://zh.wikisource.org/zh-hant/%E5%BE%90%E9%9C%9E%E5%AE%A2%E9%81%8A%E8%A8%98,,公版古籍；轉錄依平台條款,有公開轉錄；需對照影印本,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000007,《康熙雲南通志》,《康熙云南通志》,清代雲南官修；責任者依卷首核對,1691年,日本國立公文書館藏數碼影像,清代省級方志,雲南,提供清初行政、物產、山川及賦役架構，適合與乾嘉、道光及光緒地志比較茶區名稱與制度變化。,官修方志有分類、採訪與政治視角；不同卷冊須保持同一版本，不能把後修內容回填到1691年。,https://commons.wikimedia.org/wiki/File:NAJDA4759830_%E9%9B%B2%E5%8D%97%E9%80%9A%E5%BF%97_%E7%AC%AC22%E5%86%8A.pdf,,公版古籍掃描,部分卷冊影像可查；待整套版本對齊,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000012,《普洱茶記》,《普洱茶记》,阮福,1825年,館藏及後世文集版本待逐本核對,清代茶事專記,普洱府、六茶山、清代貢茶與交易,專門討論普洱茶產地、採製、形制、貢茶與流通，是清代普洱茶史最常引用的專文之一。,網上流傳文本常無底本與頁碼，且可能經簡化或標點重排。本庫暫不把未校勘全文當作可直接引證版本。,https://find.nlc.cn/search/doSearch?query=%E6%99%AE%E6%B4%B1%E8%8C%B6%E8%A8%98,,原作公版；數碼版本權利依館藏,書目已立；可靠底本與逐字校錄待完成,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000013,《道光普洱府志》二十卷（1840）,《道光普洱府志》二十卷（1840）,鄭紹謙主持纂修,1840年,道光二十年刻本數碼影像,清代府志,清代普洱府,第一部成書的普洱府志，可查行政沿革、山川、物產、道路、賦役與地方社會，是界定清代普洱府語境的核心來源。,府志由官府採訪編纂，分類與沉默都受制度目的影響；現代行政區、族名和茶山邊界不可直接倒套。,https://commons.wikimedia.org/wiki/File:%EF%BC%88%E9%81%93%E5%85%89%EF%BC%89%E6%99%AE%E6%B4%B1%E5%BA%9C%E5%BF%97_-_%E9%81%93%E5%85%89%E4%BA%8C%E5%8D%81%E5%B9%B4_(1840).pdf,,公版古籍掃描,完整影像可查；待OCR與人工校勘,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000014,《道光普洱府志》續修二十卷（1850；咸豐元年刊）,《道光普洱府志》续修二十卷（1850；咸丰元年刊）,李熙齡續纂修,1850年續修,咸豐元年（1851）刻本數碼影像,清代府志,清代普洱府,續修1840年府志，補充清中葉普洱府行政、物產與地方材料；可用來比較十年間新增或改寫內容。,不可把1840初修與1850續修混稱同一版本；引用必須記明卷、頁及咸豐元年刊本，並辨別沿抄與新增條文。,https://commons.wikimedia.org/wiki/Category:%E6%99%AE%E6%B4%B1%E5%BA%9C%E5%BF%97,,公版古籍掃描,分卷影像可查；待版本差異表,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000015,《普洱府志稿》,《普洱府志稿》,陳宗海主持纂修,1899–1900年,光緒二十五至二十六年稿本／刊本數碼影像,清代府志稿,清末普洱府,全面記述清末普洱府自然、人文、政治、經濟與軍事，可與兩種道光府志比較茶業、道路與社會變化。,網站館藏同時有分卷與整部掃描，頁碼系統未必一致；應先固定底本，並注意稿本、刊本與後來標題年份差異。,https://commons.wikimedia.org/wiki/Category:%E6%99%AE%E6%B4%B1%E5%BA%9C%E5%BF%97%E7%A8%BF,,公版古籍掃描,影像完整度高；待分卷OCR與人工校勘,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000017,《新纂雲南通志》,《新纂云南通志》,民國雲南通志館編纂,1910年代至1949年纂修,民國三十八年（1949）本數碼影像,民國省級通志,雲南,收錄民國以前及近代雲南沿革、實業、交通與物產資料，是銜接清末茶業與20世紀制度史的重要大型方志。,長期編纂造成資料年代不一；各門卷成稿與刊行時間需分辨，不能把所有內容統稱為1949年現況。,https://commons.wikimedia.org/wiki/File:%E6%96%B0%E7%BA%82%E9%9B%B2%E5%8D%97%E9%80%9A%E5%BF%97_-_%E6%B0%91%E5%9C%8B%E4%B8%89%E5%8D%81%E5%85%AB%E5%B9%B4_(1949)_-_%E5%8D%B7091-110.pdf,,公版或依具體卷冊判定；影像頁有權利標示,部分卷冊影像可查；待茶業相關卷索引,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000018,GB/T 22111-2008《地理標誌產品 普洱茶》,GB/T 22111-2008《地理标志产品 普洱茶》,中國國家標準主管部門,2008-06-17發布；2008-12-01實施,國家標準公開系統現行記錄,現代官方標準,標準核定的雲南地理標誌保護範圍,界定當代地理標誌產品普洱茶的範圍、原料、產品類型及要求，是法律／標準定義史的重要記錄。,標準回答規範問題，不可倒推清代用語的唯一含義，也不能單獨證明某件商品的真實產地或批次合格。,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=CAF792AAE4A96101F217C44250C8C8E4,,官方狀態頁公開；標準全文依官方使用條款,官方記錄已核；全文引用須按授權,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000019,《普洱茶地理標誌產品保護管理辦法》,《普洱茶地理标志产品保护管理办法》,雲南省人民政府辦公廳,2009-04-28,雲南省政府公開全文,現代官方規範文件,雲南省；11個州（市）75個縣（市、區）,說明地理標誌專用標誌的申請、使用及管理，並列出2008年公告批准的保護範圍。,管理辦法與產品標準、商標、普通商品標示不是同一制度；使用時須核對其現行效力及後續修訂。,https://nync.yn.gov.cn/html/2009/shengweishengzhengfushenongwenjian_0626/399901.html?cid=5781,,政府公開資料,官方全文可查,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
HIS-000023,Pu’er Traditional Tea Agrosystem—GIAHS Proposal,普洱传统茶农业系统申报文本,普洱市人民政府等申報；聯合國糧食及農業組織收錄,2012年,FAO GIAHS申報PDF,國際農業文化遺產申報文件,普洱市及瀾滄江流域相關農業系統,集中整理古茶樹、茶園生態、生物多樣性、民族知識、生計及保護規劃，是研究GIAHS制度表述的一手申報材料。,申報文本旨在說明遺產價值，不能取代獨立歷史考證或生態監測；文中宏觀起源及年代說法須按其引用來源再核。,https://www.fao.org/fileadmin/user_upload/giahs/docs/Proposal-for-Puer.pdf,,FAO公開文件；依FAO使用條款,官方PDF可查；本庫尚未全文轉錄,SOURCE_CHECKED,2026-09-12T07:43:33+00:00
