process_id,name,process_group,stage_order,purpose,inputs,outputs,controls,transformations,quality_effects,risks,sources
PRO-000007,乾倉,市場倉儲語彙,,市場上用來描述相對乾燥、無明顯加濕的保存語境；不是足以單獨重現環境的科學參數。,茶品,具特定倉儲履歷的茶品,必須另列溫度 | 相對濕度 | 時間 | 地點 | 通風 | 包裝,需以實際環境資料判讀。,不能只憑標籤預測。,把模糊市場分類當成標準化處理。,"[{""label"": ""普洱茶貯存技術規範（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D4B71AE05397BE0A0A41E1""}]"
PRO-000001,後發酵,概念詞,,指初製後仍由微生物及其他反應參與的後續轉化語境；使用時應註明是渥堆還是貯存。,已完成初製的茶料,持續轉化的茶品,工藝類型 | 環境 | 時間 | 水分 | 衛生,可能包括微生物代謝、氧化、聚合和水解。,不同條件不產生單一固定方向。,用一個詞概括所有生茶、熟茶和倉儲現象。,"[{""label"": ""普洱茶產品標準"", ""url"": ""https://std.samr.gov.cn/gb/search/gbDetailed?id=oJw0FpayIsM%3D&mode=p""}]"
PRO-000002,發酵,概念詞,,描述微生物或酶促作用參與的轉化，但必須寫明茶類、工藝階段、含水條件及研究定義。,依研究或工藝而定,依研究或工藝而定,定義 | 微生物來源 | 氧氣 | 含水 | 溫度 | 時間,不是單一反應，也不等同所有茶葉陳化。,取決於工藝條件。,把市場俗稱、後發酵、渥堆和一般氧化混成同一概念。,"[{""label"": ""茶葉加工術語"", ""url"": ""https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F2407CBB19E05397BE0A0AB44A""}]"
PRO-000021,鮮葉驗收與批次建檔,原料與品質控制,0,在加工前核對原料來源、採摘日期、品種或群體、潔淨度、嫩度及運輸狀態，建立可追溯批次。,待驗收鮮葉及供應資料,獲接收、隔離或退回判定的原料批次,供應者 | 地塊或來源 | 採摘時間 | 外來物 | 紅變或劣變 | 批次編碼,不以加工改變原料；重點是身份、狀態與紀錄控制。,原料一致性與可追溯性會限制後續工藝能達到的品質範圍。,混批、來源聲稱無證據、運輸悶熱及不合格原料流入。,"[{""label"": ""DB5308/T 58-2020 普洱茶加工技術規程（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}, {""label"": ""GB/T 38208-2019 農產品基本信息描述 茶葉"", ""url"": ""https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=98F761CE3A47AA75F00ABD5647AD2429""}]"
PRO-000011,鮮葉攤放,曬青毛茶初製,1,讓採下的鮮葉均勻散熱及發生受控失水，為殺青建立較一致的原料狀態。,合規茶樹鮮葉,完成攤放的鮮葉,時間 | 葉層厚度 | 通風 | 環境溫濕度 | 避免污染,以水分散失及葉溫調節為主；不應把攤放直接稱作完整發酵。,過度或不均勻攤放可改變後續殺青一致性。,堆積發熱、異味吸附及衛生污染。,"[{""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000004,殺青,曬青毛茶初製,2,以熱處理迅速改變鮮葉酶活性與含水狀態，建立後續揉捻和乾燥的基礎。,完成攤放的鮮葉,殺青葉,葉溫 | 鍋溫或設備溫度 | 投葉量 | 時間 | 翻動均勻度,熱作用、失水及酶活性改變同時發生。,程度不一會影響青草氣、苦澀、香氣前體及揉捻性能。,焦糊、紅梗紅葉、殺青不足或過度。,"[{""label"": ""普洱茶加工技術規程（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}, {""label"": ""DOC-000196 季節與炒製代謝研究"", ""document_id"": ""DOC-000196""}]"
PRO-000005,揉捻,曬青毛茶初製,3,以機械作用改變葉片形態及組織，使條索形成並影響成分釋出。,殺青葉,揉捻葉,壓力 | 時間 | 投葉量 | 葉溫 | 設備形式,葉片組織受機械破壞，細胞內容物接觸面增加。,關係條索、沖泡浸出和後續乾燥均勻性。,過重造成碎末，過輕則條索和浸出不足。,"[{""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000012,解塊,曬青毛茶初製,4,把揉捻後黏結的葉團鬆開，改善曬乾時的通風及乾燥均勻度。,揉捻葉,鬆散葉料,解散均勻度 | 避免額外破碎 | 衛生,以物理分散為主。,減少局部乾燥不足和結塊。,粗暴操作增加碎茶。,"[{""label"": ""茶葉加工術語"", ""url"": ""https://std.samr.gov.cn/hb/search/stdHBDetailed?id=8B1827F2407CBB19E05397BE0A0AB44A""}]"
PRO-000008,曬青,曬青毛茶初製,5,利用日光和環境氣流降低揉捻葉水分，製成曬青毛茶。,解塊後揉捻葉,曬青毛茶,天氣 | 鋪葉厚度 | 翻動 | 場地清潔 | 終點含水狀態,水分下降並伴隨受光、溫度及氧化條件影響的成分變化。,乾燥方式可造成滋味及代謝物差異；研究結果須按樣本和設備解讀。,受潮、異物、雨淋、過度曝曬或乾燥不均。,"[{""label"": ""DOC-000428 不同乾燥方法研究"", ""document_id"": ""DOC-000428""}, {""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
PRO-000013,毛茶分級與篩分,精製與成形,6,按條索、大小及品質需要整理毛茶，移除不合要求物料並建立拼配單元。,曬青毛茶,分級毛茶,篩號 | 揀剔標準 | 批次追溯 | 交叉污染,物理分選，不等同品質本身被提升。,提高批次規格一致性。,過度依賴外觀分級或混淆批次。,"[{""label"": ""DB5308/T 58-2020（已廢止；作歷史參考）"", ""url"": ""https://std.samr.gov.cn/db/search/stdDBDetailed?id=A02D3325A6D8B71AE05397BE0A0A41E1""}]"
