study_id,document_id,document_title,study_design,sample_description,sample_size,sample_origin,tea_material,intervention,comparator,methods,outcomes,limitations,human_applicability,bias_risk,evidence_strength,source_locator,curation_status,reviewer_kind,updated_at
STU-000001,DOC-000471,Reduction of body fat and improved lipid profile associated with daily consumption of a Puer tea extract in a hyperlipidemic population: a randomized placebo-controlled trial.,HUMAN_RANDOMIZED_TRIAL,35至75歲、過重或輕度肥胖且空腹膽固醇至少220 mg/dL的非亞洲成年人；隨機、雙盲、安慰劑對照，追蹤20週。,59 人入組；49 人完成，另排除 1 人，48 人納入分析,美國合約研究實驗室；58名白人、1名西班牙裔參與者,普洱茶提取物粉末，每日3 g，分兩次隨餐飲用,普洱茶提取物3 g/日，20週,玉米澱粉糊精安慰劑,每4週測量血脂、C反應蛋白及空腹血糖 | 基線與研究結束以DXA測量身體組成 | 記錄食慾、體力與精神活力,20 週時，提取物組的 BMI 與安慰劑組有統計顯著差異；體脂變化的組間差異未達顯著。 | 總膽固醇及 HDL 的組間差異未達顯著；三酸甘油酯只呈趨勢（P<0.1）。部分組內前後改善，不應寫成優於安慰劑。,樣本小且族群組成單一；59 人入組、49 人完成，再排除 1 人，須留意失訪及分析集的影響。 | 使用標準化提取物，不等同一般沖泡茶湯或所有普洱產品。 | 研究由 Tasly Pharmaceuticals USA 贊助，產品與安慰劑亦由 Tasly 準備。 | 多項結果與時間點同時比較；組內前後差異不能代替組間療效判斷。,直接人體證據，但只適用於該提取物、劑量、20週及入組族群。,SOME_CONCERNS,LOW_TO_MODERATE,Materials and methods / Study design；Results / Study population、Weight management and body composition、Lipid profile；Acknowledgments（2026-09-12 回查本庫原文）,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000006,DOC-000433,"Kinetics, pathways, mechanism and toxicity evaluation of chiral pesticide Paichongding during the fermentation of Puer tea.",PROCESS_FATE_AND_IN_SILICO_TOXICITY_STUDY,追蹤手性農藥Paichongding在普洱茶發酵中的異構體降解與中間產物。,8 個取樣時點，設 30% 與 40% 含水條件；各組獨立發酵批次數待核,西雙版納的曬青茶原料,發酵普洱茶,發酵過程時間序列,不同異構體與時間點,殘留與代謝物追蹤 | 密度泛函理論推算反應位點 | 計算毒性評估,作者報告發酵期間出現非對映選擇性降解並鑑定7個主要中間物 | 毒性部分主要屬計算預測,計算毒性不等同人體暴露或臨床毒性 | 需核對初始施藥量、加工因子及方法回收率 | 單一實驗條件不能代表所有工廠渥堆 | 代謝物風險仍需實測暴露與毒理資料,只可作加工命運與危害線索。,IN_SILICO_EXTRAPOLATION,LOW_TO_MODERATE,"摘要；Methods及Supplementary data；2026-09-12 回查原文段落 CHK-009417, CHK-009418",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000002,DOC-000397,Theabrownin from Pu-erh tea attenuates hypercholesterolemia via modulation of gut microbiota and bile acid metabolism.,TRANSLATIONAL_MULTI_MODEL_STUDY,包含高脂飲食小鼠、13名24至32歲健康男性的前後比較，以及細胞與靶向代謝組實驗。,小鼠主要比較每組8隻；人體13人,上海研究團隊；人體受試者為健康男性,標準化即溶普洱茶粉及分離茶褐素,人體50 mg/kg/日、4週；小鼠普洱茶或茶褐素多個方案,人體以同一受試者介入前作比較；小鼠設正常／高脂飲食及無茶對照,16S／宏基因組分析 | 膽汁酸靶向代謝組 | 蛋白與基因表達 | 多組小鼠干預及人體前後比較,作者報告腸道膽鹽水解酶相關菌、膽汁酸及脂質代謝訊號隨干預改變 | 人體4週內體重未顯著下降；部分血脂及代謝指標有前後差異,人體部分沒有平行安慰劑組且只有男性13人 | 機制鏈主要由小鼠與細胞實驗支持 | 即溶茶粉及茶褐素不能代表所有熟茶或日常沖泡劑量 | 作者亦指出需更長期、包含女性及劑量／副作用臨床試驗,有人體生物標誌物資料，但因無平行對照，只可視為探索性前後比較。,HIGH_FOR_HUMAN_CAUSAL_INFERENCE,EXPLORATORY,Methods / Animal study；Methods / Metabolomic study of human subjects；Discussion,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000003,DOC-000457,Anti-Oxidative Effect of Pu-erh Tea in Animals Trails: A Systematic Review and Meta-Analysis.,SYSTEMATIC_REVIEW_AND_META_ANALYSIS_OF_ANIMAL_STUDIES,系統搜尋 7 個資料庫，納入 9 篇齧齒類動物研究；結果涉及大鼠與小鼠，不是人體試驗。,9 篇研究；MDA 為 28 組數據，SOD 及 GSH-Px 各 25 組數據；動物總數尚待逐研究核對,中英文文獻；檢索截至2020-02-21,不同研究所用普洱茶或提取物,動物普洱茶干預,動物對照組,PRISMA導向的系統檢索 | 以SOD、GSH-Px、MDA為主要結果的統合分析 | 報告異質性I²,作者報告三項氧化壓力指標的合併效應 | 各主要結果異質性超過90%,納入的是動物試驗，不是人體臨床研究 | 極高異質性限制合併估計的穩定性 | 產品、劑量、動物模型及研究品質差異需逐篇判讀 | 摘要把傳統觀念寫成已驗證，網站不得照搬為人體結論,不可直接外推人體療效。,HIGH_HETEROGENEITY,PRECLINICAL_LOW,Materials and Methods / Data Extraction；Results / Study Selection、Study Characteristics、Meta-Analysis（2026-09-12 回查本庫原文）,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000004,DOC-000446,Simultaneous Determination of Pesticide Residues and Mycotoxins in Storage Pu-erh Tea Using Ultra-High-Performance Liquid Chromatography Coupled with Tandem Mass Spectrometry.,METHOD_VALIDATION_WITH_MARKET_SAMPLE_APPLICATION,建立同時檢測31種農藥與6種真菌毒素的方法，並應用於31個生、熟普洱及不同存期樣品。,31個普洱茶樣品,樣品來源與代表性須回到樣品表核對,生茶與熟茶，不同儲存時間,不適用,空白、加標及基質匹配校準,QuEChERS萃取 | UPLC-MS/MS | 選擇性、線性、回收率、精密度與LOQ驗證,方法可在11分鐘內分析目標物，LOQ與回收率按分析物而異 | 作者報告該31樣品未檢出目標農藥，檢出的真菌毒素低於所採用限量,31個樣品不能代表全部市場、年份、山頭或倉儲 | 未檢出受分析物清單與檢出／定量限限制 | 限量標準須按產品類別與現行版本另行核對 | 方法性能不能直接證明所有普洱茶安全,屬產品檢測證據，不是人體研究。,SAMPLE_REPRESENTATIVENESS_UNCLEAR,MODERATE_FOR_METHOD_ONLY,摘要；Results and Discussion / Method Validation,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
STU-000005,DOC-000456,"Simultaneous Determination and Health Risk Assessment of Four High Detection Rate Pesticide Residues in Pu'er Tea from Yunnan, China.",CROSS_SECTIONAL_SAFETY_SURVEY,從雲南三個主要普洱茶產區取得300個樣品，檢測4種高檢出率農藥並作危害商數評估。,300個茶樣,雲南三個主要產區；抽樣框及市場／產地比例須查原文,普洱茶樣品,不適用,與GB 2763-2021中相應限量比較,MWCNT淨化的QuEChERS | UHPLC-QTRAP-MS/MS | HQ危害商數,作者報告不同農藥檢出率及殘留範圍 | 氯蟲苯甲醯胺以外的具體超標與HQ結果須按原表及現行標準核對；摘要報告4種HQ均小於1,抽樣年份、季節、批次及渠道影響代表性 | HQ依賴攝入量、體重及毒理參數假設 | 個別農藥低風險不代表未檢測污染物也低風險 | GB 2763版本更新時必須重新比較,可作特定抽樣與模型下的膳食風險估算，不是個人診斷。,MODERATE,MODERATE_FOR_SAMPLED_ANALYTES,摘要；樣品與風險評估方法章節,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12T07:43:33+00:00
STU-000007,DOC-000442,Nonstereoselective dissipation of sulfoxaflor in different Puer tea processing.,PROCESS_DISSIPATION_STUDY,比較sulfoxaflor立體異構體在曬青、生茶與熟茶加工／儲存路徑中的消散。,熟茶渥堆部分有 8 個取樣時點；另作 3 個溫度條件及日曬試驗，各方案的獨立重複數待核,實驗加工樣品,曬青茶、生普洱及熟普洱,不同加工與發酵溫度,茶類路徑及溫度條件,LC-MS/MS | 半衰期估算 | 立體選擇性分析,作者報告不同加工路徑的持留時間差異 | 低溫發酵條件下消散較快的現象由作者解釋為酵素可能參與,受控加工結果不代表市售殘留分布 | 半衰期依賴初始濃度、溫濕度與模型 | 『酵素作用』屬推論，非直接機制證明 | 不能由加工消散推論終產品必然合格,不屬人體證據。,CONTEXT_DEPENDENT,MODERATE_FOR_PROCESS_CONDITIONS,"摘要；加工與分析方法章節；2026-09-12 回查原文段落 CHK-009742, CHK-009743, CHK-009744",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000008,DOC-000414,Enantioselectivity and residue analysis of cycloxaprid and its metabolite in the pile and fermentation processing of Puer tea by ultraperformance liquid chromatography-high-resolution mass spectrometry.,PROCESS_RESIDUE_KINETICS_STUDY,分析cycloxaprid兩個對映體及代謝物在生茶與熟茶加工中的殘留動力學。,熟茶加工部分有 7 個取樣時點；獨立發酵批次及各時點重複數待核,受控普洱茶加工實驗,生茶及熟茶加工樣品,加工及長期時間序列,生茶與熟茶路徑、兩個對映體,手性色譜分離 | UPLC-HRMS | 半衰期與終端殘留分析,作者報告兩個對映體在加工中的消散速率不同 | 生、熟加工路徑的持留時間與代謝物量不同,實驗施藥及加工條件未必代表一般生產 | 長期檢出須連同LOQ與回收率解讀 | 殘留存在不等同超標或實際健康風險 | 須以現行限量與飲用轉移率另作評估,不屬人體證據。,CONTEXT_DEPENDENT,MODERATE_FOR_PROCESS_CONDITIONS,摘要；Materials and methods；2026-09-12 回查原文段落 CHK-008742,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000009,DOC-000483,Analytical Assessment of Bio- and Toxic Elements Distribution in Pu-erh and Fruit Teas in View of Chemometric Approach.,COMPOSITION_AND_CHEMOMETRIC_ANALYSIS,測量普洱茶與水果茶茶葉及茶湯中的宏量、微量及部分有毒元素。,32 款產品（17 款列作普洱類），約 300 份茶葉及茶湯分析樣本；分析樣本數不等同獨立產品數,波蘭當地市場及茶店的市售產品,黑茶（普洱）與水果茶葉／浸出液,不適用,茶類、發酵／加工類別,FAAS | 磷鉬酸分光法 | 認證標準物質驗證 | 因子與聚類分析,作者報告多元素濃度及浸出情況，並以化學計量方法區分部分樣品組 | 方法回收率在摘要所述範圍內,元素總量與實際攝入量不同 | 樣品與品牌代表性可能有限 | 聚類可描述資料結構，不能自動證明產地或品質等級 | 健康風險須結合飲用量、浸出率及現行限值,屬化學暴露資料，不是人體健康結局研究。,SAMPLE_REPRESENTATIVENESS_UNCLEAR,MODERATE_FOR_MEASURED_SAMPLES,摘要；Methods及樣品表；2026-09-12 回查原文段落 CHK-011140,SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
STU-000010,DOC-000003,Integrated Meta-omics Approaches To Understand the Microbiome of Spontaneous Fermentation of Traditional Chinese Pu-erh Tea - PMC,MICROBIOLOGY_MULTI_OMICS_STUDY,兩次重複的自發普洱茶發酵，以多組學追蹤菌群、蛋白、酵素與代謝物。,2 次發酵、9 個階段，每次發酵各階段取 2 份樣本，共 36 份；各項組學的分析範圍不同,雲南普洱茶發酵系統,傳統自發發酵普洱茶,發酵時間序列,兩次重複發酵及不同階段,細菌16S及真菌ITS擴增子 | 宏蛋白組 | 代謝組與HPLC | 多組學關聯,作者報告細菌與真菌群落隨階段改變 | 鑑定與多醣降解及酚類轉化相關的微生物蛋白與代謝變化,多組學關聯不能單獨證明每個菌造成某項代謝變化 | 相對豐度不等於絕對菌量或活性 | 兩次發酵仍不足以代表不同工廠、季節與原料 | 部分酵素—路徑關係由註釋推定,不屬人體功效研究。,MODERATE,MODERATE_MECHANISTIC,"摘要；Materials and Methods；Results；2026-09-12 回查原文段落 CHK-006471, CHK-006472",SOURCE_CHECKED,AI_ASSISTED_SOURCE_CHECK,2026-09-12
