document_id,topic_id,name,relation_type,confidence
DOC-000003,TOP-000006,fermentation,CORE,0.91
DOC-000003,TOP-000010,microbiology,CORE,0.91
DOC-000003,TOP-000009,chemistry,SUBSTANTIVE,0.76
DOC-000003,TOP-000014,culture,MENTIONS,0.55
DOC-000003,TOP-000013,geography,MENTIONS,0.55
DOC-000003,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000003,TOP-000005,processing,MENTIONS,0.55
DOC-000003,TOP-000001,production,MENTIONS,0.55
DOC-000003,TOP-000011,safety,MENTIONS,0.55
DOC-000003,TOP-000008,sensory,MENTIONS,0.55
DOC-000003,TOP-000016,standards,MENTIONS,0.55
DOC-000004,TOP-000009,chemistry,CORE,0.91
DOC-000004,TOP-000010,microbiology,CORE,0.91
DOC-000004,TOP-000007,storage,CORE,0.91
DOC-000004,TOP-000002,cultivar,MENTIONS,0.55
DOC-000004,TOP-000006,fermentation,MENTIONS,0.55
DOC-000004,TOP-000013,geography,MENTIONS,0.55
DOC-000004,TOP-000012,history,MENTIONS,0.55
DOC-000004,TOP-000015,industry,MENTIONS,0.55
DOC-000004,TOP-000005,processing,MENTIONS,0.55
DOC-000004,TOP-000001,production,MENTIONS,0.55
DOC-000004,TOP-000008,sensory,MENTIONS,0.55
DOC-000004,TOP-000016,standards,MENTIONS,0.55
DOC-000008,TOP-000006,fermentation,CORE,0.91
DOC-000008,TOP-000010,microbiology,CORE,0.94
DOC-000008,TOP-000009,chemistry,SUBSTANTIVE,0.76
DOC-000008,TOP-000002,cultivar,MENTIONS,0.55
DOC-000008,TOP-000014,culture,MENTIONS,0.55
DOC-000008,TOP-000013,geography,MENTIONS,0.55
DOC-000008,TOP-000005,processing,MENTIONS,0.55
DOC-000008,TOP-000001,production,MENTIONS,0.55
DOC-000008,TOP-000008,sensory,MENTIONS,0.55
DOC-000008,TOP-000016,standards,MENTIONS,0.55
DOC-000008,TOP-000007,storage,MENTIONS,0.55
DOC-000008,TOP-000003,terroir,MENTIONS,0.55
DOC-000009,TOP-000009,chemistry,CORE,0.91
DOC-000009,TOP-000006,fermentation,CORE,0.91
DOC-000009,TOP-000010,microbiology,CORE,0.91
DOC-000009,TOP-000013,geography,SUBSTANTIVE,0.76
DOC-000009,TOP-000011,safety,SUBSTANTIVE,0.76
DOC-000009,TOP-000002,cultivar,MENTIONS,0.55
DOC-000009,TOP-000014,culture,MENTIONS,0.55
DOC-000009,TOP-000005,processing,MENTIONS,0.55
DOC-000009,TOP-000001,production,MENTIONS,0.55
DOC-000009,TOP-000008,sensory,MENTIONS,0.55
DOC-000009,TOP-000016,standards,MENTIONS,0.55
DOC-000009,TOP-000007,storage,MENTIONS,0.55
DOC-000015,TOP-000006,fermentation,CORE,0.91
DOC-000015,TOP-000009,chemistry,SUBSTANTIVE,0.8
DOC-000015,TOP-000010,microbiology,SUBSTANTIVE,0.76
DOC-000015,TOP-000008,sensory,SUBSTANTIVE,0.8
DOC-000015,TOP-000002,cultivar,MENTIONS,0.55
DOC-000015,TOP-000015,industry,MENTIONS,0.55
DOC-000015,TOP-000005,processing,MENTIONS,0.55
DOC-000015,TOP-000001,production,MENTIONS,0.55
DOC-000015,TOP-000011,safety,MENTIONS,0.55
DOC-000016,TOP-000014,culture,CORE,0.91
DOC-000016,TOP-000010,microbiology,CORE,0.91
DOC-000016,TOP-000005,processing,CORE,0.91
DOC-000016,TOP-000001,production,CORE,0.91
DOC-000016,TOP-000009,chemistry,SUBSTANTIVE,0.8400000000000001
DOC-000016,TOP-000006,fermentation,SUBSTANTIVE,0.8
DOC-000016,TOP-000015,industry,SUBSTANTIVE,0.7200000000000001
DOC-000016,TOP-000008,sensory,MENTIONS,0.55
DOC-000016,TOP-000003,terroir,MENTIONS,0.55
DOC-000017,TOP-000009,chemistry,SUBSTANTIVE,0.76
DOC-000017,TOP-000008,sensory,SUBSTANTIVE,0.76
DOC-000017,TOP-000002,cultivar,MENTIONS,0.55
DOC-000017,TOP-000006,fermentation,MENTIONS,0.55
DOC-000017,TOP-000013,geography,MENTIONS,0.55
DOC-000017,TOP-000015,industry,MENTIONS,0.55
DOC-000017,TOP-000010,microbiology,MENTIONS,0.55
DOC-000017,TOP-000005,processing,MENTIONS,0.55
DOC-000017,TOP-000001,production,MENTIONS,0.55
DOC-000017,TOP-000016,standards,MENTIONS,0.55
DOC-000017,TOP-000007,storage,MENTIONS,0.55
DOC-000018,TOP-000006,fermentation,CORE,0.91
DOC-000018,TOP-000001,production,CORE,0.91
DOC-000018,TOP-000009,chemistry,SUBSTANTIVE,0.76
DOC-000018,TOP-000010,microbiology,SUBSTANTIVE,0.8
DOC-000018,TOP-000002,cultivar,MENTIONS,0.55
DOC-000018,TOP-000014,culture,MENTIONS,0.55
DOC-000018,TOP-000013,geography,MENTIONS,0.55
DOC-000018,TOP-000015,industry,MENTIONS,0.55
DOC-000018,TOP-000005,processing,MENTIONS,0.55
DOC-000018,TOP-000008,sensory,MENTIONS,0.55
DOC-000018,TOP-000007,storage,MENTIONS,0.55
DOC-000023,TOP-000009,chemistry,CORE,0.91
DOC-000023,TOP-000006,fermentation,CORE,0.94
DOC-000023,TOP-000005,processing,SUBSTANTIVE,0.76
DOC-000023,TOP-000010,microbiology,MENTIONS,0.55
DOC-000023,TOP-000001,production,MENTIONS,0.55
DOC-000023,TOP-000008,sensory,MENTIONS,0.55
DOC-000023,TOP-000016,standards,MENTIONS,0.55
DOC-000025,TOP-000014,culture,CORE,0.91
DOC-000025,TOP-000006,fermentation,CORE,0.94
DOC-000025,TOP-000010,microbiology,CORE,0.94
DOC-000025,TOP-000009,chemistry,SUBSTANTIVE,0.8
DOC-000025,TOP-000002,cultivar,MENTIONS,0.55
DOC-000025,TOP-000015,industry,MENTIONS,0.55
DOC-000025,TOP-000005,processing,MENTIONS,0.55
DOC-000025,TOP-000001,production,MENTIONS,0.55
DOC-000025,TOP-000016,standards,MENTIONS,0.55
DOC-000025,TOP-000003,terroir,MENTIONS,0.55
DOC-000058,TOP-000015,industry,SUBSTANTIVE,0.8
DOC-000058,TOP-000005,processing,SUBSTANTIVE,0.76
DOC-000058,TOP-000001,production,SUBSTANTIVE,0.76
DOC-000058,TOP-000009,chemistry,MENTIONS,0.55
DOC-000058,TOP-000002,cultivar,MENTIONS,0.55
DOC-000058,TOP-000014,culture,MENTIONS,0.55
DOC-000058,TOP-000006,fermentation,MENTIONS,0.55
DOC-000058,TOP-000013,geography,MENTIONS,0.55
DOC-000058,TOP-000012,history,MENTIONS,0.55
DOC-000058,TOP-000010,microbiology,MENTIONS,0.55
DOC-000058,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000058,TOP-000008,sensory,MENTIONS,0.55
DOC-000058,TOP-000016,standards,MENTIONS,0.55
DOC-000058,TOP-000007,storage,MENTIONS,0.55
DOC-000058,TOP-000003,terroir,MENTIONS,0.55
DOC-000064,TOP-000013,geography,CORE,0.91
DOC-000064,TOP-000003,terroir,CORE,0.91
DOC-000064,TOP-000014,culture,SUBSTANTIVE,0.76
DOC-000064,TOP-000015,industry,SUBSTANTIVE,0.8400000000000001
DOC-000064,TOP-000016,standards,SUBSTANTIVE,0.76
DOC-000064,TOP-000009,chemistry,MENTIONS,0.55
DOC-000064,TOP-000002,cultivar,MENTIONS,0.55
DOC-000064,TOP-000006,fermentation,MENTIONS,0.55
DOC-000064,TOP-000012,history,MENTIONS,0.55
DOC-000064,TOP-000010,microbiology,MENTIONS,0.55
DOC-000064,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000064,TOP-000005,processing,MENTIONS,0.55
DOC-000064,TOP-000001,production,MENTIONS,0.55
DOC-000064,TOP-000011,safety,MENTIONS,0.55
DOC-000064,TOP-000008,sensory,MENTIONS,0.55
DOC-000064,TOP-000007,storage,MENTIONS,0.55
DOC-000106,TOP-000006,fermentation,CORE,0.91
DOC-000106,TOP-000008,sensory,CORE,0.91
DOC-000106,TOP-000009,chemistry,SUBSTANTIVE,0.8
DOC-000106,TOP-000015,industry,MENTIONS,0.55
DOC-000106,TOP-000010,microbiology,MENTIONS,0.55
DOC-000106,TOP-000005,processing,MENTIONS,0.55
DOC-000106,TOP-000001,production,MENTIONS,0.55
DOC-000143,TOP-000002,cultivar,MENTIONS,0.55
DOC-000143,TOP-000014,culture,MENTIONS,0.55
DOC-000143,TOP-000006,fermentation,MENTIONS,0.55
DOC-000143,TOP-000013,geography,MENTIONS,0.55
DOC-000143,TOP-000012,history,MENTIONS,0.55
DOC-000143,TOP-000015,industry,MENTIONS,0.55
DOC-000143,TOP-000010,microbiology,MENTIONS,0.55
DOC-000143,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000143,TOP-000005,processing,MENTIONS,0.55
DOC-000143,TOP-000001,production,MENTIONS,0.55
DOC-000143,TOP-000008,sensory,MENTIONS,0.55
DOC-000143,TOP-000016,standards,MENTIONS,0.55
DOC-000143,TOP-000007,storage,MENTIONS,0.55
DOC-000143,TOP-000003,terroir,MENTIONS,0.55
DOC-000146,TOP-000011,safety,CORE,0.94
DOC-000146,TOP-000008,sensory,SUBSTANTIVE,0.8
DOC-000146,TOP-000007,storage,SUBSTANTIVE,0.76
DOC-000146,TOP-000009,chemistry,MENTIONS,0.55
DOC-000146,TOP-000002,cultivar,MENTIONS,0.55
DOC-000146,TOP-000006,fermentation,MENTIONS,0.55
DOC-000146,TOP-000015,industry,MENTIONS,0.55
DOC-000146,TOP-000010,microbiology,MENTIONS,0.55
DOC-000146,TOP-000005,processing,MENTIONS,0.55
DOC-000146,TOP-000001,production,MENTIONS,0.55
DOC-000146,TOP-000016,standards,MENTIONS,0.55
DOC-000146,TOP-000003,terroir,MENTIONS,0.55
DOC-000166,TOP-000009,chemistry,MENTIONS,0.55
DOC-000166,TOP-000002,cultivar,MENTIONS,0.55
DOC-000166,TOP-000006,fermentation,MENTIONS,0.55
DOC-000166,TOP-000013,geography,MENTIONS,0.55
DOC-000166,TOP-000015,industry,MENTIONS,0.55
DOC-000166,TOP-000010,microbiology,MENTIONS,0.55
DOC-000166,TOP-000005,processing,MENTIONS,0.55
DOC-000166,TOP-000008,sensory,MENTIONS,0.55
DOC-000166,TOP-000016,standards,MENTIONS,0.55
DOC-000188,TOP-000009,chemistry,CORE,0.91
DOC-000188,TOP-000002,cultivar,MENTIONS,0.55
DOC-000188,TOP-000014,culture,MENTIONS,0.55
DOC-000188,TOP-000006,fermentation,MENTIONS,0.55
DOC-000188,TOP-000013,geography,MENTIONS,0.55
DOC-000188,TOP-000012,history,MENTIONS,0.55
DOC-000188,TOP-000015,industry,MENTIONS,0.55
DOC-000188,TOP-000005,processing,MENTIONS,0.55
DOC-000188,TOP-000001,production,MENTIONS,0.55
DOC-000188,TOP-000008,sensory,MENTIONS,0.55
DOC-000188,TOP-000007,storage,MENTIONS,0.55
DOC-000188,TOP-000003,terroir,MENTIONS,0.55
DOC-000190,TOP-000010,microbiology,CORE,0.91
DOC-000190,TOP-000003,terroir,CORE,0.91
DOC-000190,TOP-000002,cultivar,MENTIONS,0.55
DOC-000190,TOP-000013,geography,MENTIONS,0.55
DOC-000190,TOP-000015,industry,MENTIONS,0.55
DOC-000190,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000190,TOP-000001,production,MENTIONS,0.55
DOC-000195,TOP-000013,geography,CORE,0.94
DOC-000195,TOP-000009,chemistry,MENTIONS,0.55
DOC-000195,TOP-000002,cultivar,MENTIONS,0.55
DOC-000195,TOP-000015,industry,MENTIONS,0.55
DOC-000195,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000195,TOP-000005,processing,MENTIONS,0.55
DOC-000195,TOP-000001,production,MENTIONS,0.55
DOC-000195,TOP-000008,sensory,MENTIONS,0.55
DOC-000195,TOP-000016,standards,MENTIONS,0.55
DOC-000195,TOP-000003,terroir,MENTIONS,0.55
DOC-000196,TOP-000009,chemistry,CORE,0.94
DOC-000196,TOP-000002,cultivar,CORE,0.91
DOC-000196,TOP-000008,sensory,CORE,0.91
DOC-000196,TOP-000014,culture,MENTIONS,0.55
DOC-000196,TOP-000013,geography,MENTIONS,0.55
DOC-000196,TOP-000015,industry,MENTIONS,0.55
DOC-000196,TOP-000010,microbiology,MENTIONS,0.55
DOC-000196,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000196,TOP-000005,processing,MENTIONS,0.55
DOC-000196,TOP-000001,production,MENTIONS,0.55
DOC-000196,TOP-000011,safety,MENTIONS,0.55
DOC-000196,TOP-000016,standards,MENTIONS,0.55
DOC-000196,TOP-000003,terroir,MENTIONS,0.55
DOC-000198,TOP-000009,chemistry,CORE,0.91
DOC-000198,TOP-000016,standards,SUBSTANTIVE,0.7200000000000001
DOC-000198,TOP-000002,cultivar,MENTIONS,0.55
DOC-000198,TOP-000013,geography,MENTIONS,0.55
DOC-000198,TOP-000012,history,MENTIONS,0.55
DOC-000198,TOP-000015,industry,MENTIONS,0.55
DOC-000198,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000198,TOP-000001,production,MENTIONS,0.55
DOC-000198,TOP-000008,sensory,MENTIONS,0.55
DOC-000199,TOP-000009,chemistry,MENTIONS,0.55
DOC-000199,TOP-000002,cultivar,MENTIONS,0.55
DOC-000199,TOP-000013,geography,MENTIONS,0.55
DOC-000199,TOP-000012,history,MENTIONS,0.55
DOC-000199,TOP-000005,processing,MENTIONS,0.55
DOC-000199,TOP-000001,production,MENTIONS,0.55
DOC-000199,TOP-000008,sensory,MENTIONS,0.55
DOC-000199,TOP-000016,standards,MENTIONS,0.55
DOC-000201,TOP-000003,terroir,SUBSTANTIVE,0.8400000000000001
DOC-000201,TOP-000009,chemistry,MENTIONS,0.55
DOC-000201,TOP-000002,cultivar,MENTIONS,0.55
DOC-000201,TOP-000014,culture,MENTIONS,0.55
DOC-000201,TOP-000013,geography,MENTIONS,0.55
DOC-000201,TOP-000015,industry,MENTIONS,0.55
DOC-000201,TOP-000010,microbiology,MENTIONS,0.55
DOC-000201,TOP-000005,processing,MENTIONS,0.55
DOC-000201,TOP-000001,production,MENTIONS,0.55
DOC-000201,TOP-000008,sensory,MENTIONS,0.55
DOC-000201,TOP-000016,standards,MENTIONS,0.55
DOC-000202,TOP-000016,standards,CORE,0.91
DOC-000202,TOP-000009,chemistry,MENTIONS,0.55
DOC-000202,TOP-000002,cultivar,MENTIONS,0.55
DOC-000202,TOP-000013,geography,MENTIONS,0.55
DOC-000202,TOP-000012,history,MENTIONS,0.55
DOC-000202,TOP-000015,industry,MENTIONS,0.55
DOC-000202,TOP-000010,microbiology,MENTIONS,0.55
DOC-000202,TOP-000001,production,MENTIONS,0.55
DOC-000202,TOP-000008,sensory,MENTIONS,0.55
DOC-000202,TOP-000003,terroir,MENTIONS,0.55
DOC-000352,TOP-000012,history,CORE,0.91
DOC-000352,TOP-000009,chemistry,MENTIONS,0.55
DOC-000352,TOP-000002,cultivar,MENTIONS,0.55
DOC-000352,TOP-000015,industry,MENTIONS,0.55
DOC-000352,TOP-000004,mountain_and_village,MENTIONS,0.55
DOC-000352,TOP-000001,production,MENTIONS,0.55
DOC-000352,TOP-000008,sensory,MENTIONS,0.55
DOC-000352,TOP-000003,terroir,MENTIONS,0.55
DOC-000392,TOP-000006,fermentation,MENTIONS,0.55
DOC-000392,TOP-000015,industry,MENTIONS,0.55
DOC-000392,TOP-000008,sensory,MENTIONS,0.55
DOC-000392,TOP-000003,terroir,MENTIONS,0.55
DOC-000393,TOP-000005,processing,CORE,0.91
DOC-000393,TOP-000001,production,CORE,0.91
DOC-000393,TOP-000016,standards,CORE,0.98
DOC-000393,TOP-000014,culture,MENTIONS,0.55
DOC-000393,TOP-000006,fermentation,MENTIONS,0.55
DOC-000393,TOP-000013,geography,MENTIONS,0.55
DOC-000393,TOP-000015,industry,MENTIONS,0.55
DOC-000393,TOP-000011,safety,MENTIONS,0.55
DOC-000393,TOP-000008,sensory,MENTIONS,0.55
DOC-000396,TOP-000007,storage,MENTIONS,0.55
DOC-000397,TOP-000009,chemistry,CORE,0.91
DOC-000397,TOP-000010,microbiology,CORE,0.91
DOC-000397,TOP-000014,culture,MENTIONS,0.55
DOC-000397,TOP-000006,fermentation,MENTIONS,0.55
DOC-000397,TOP-000013,geography,MENTIONS,0.55
DOC-000397,TOP-000005,processing,MENTIONS,0.55
DOC-000397,TOP-000001,production,MENTIONS,0.55
DOC-000397,TOP-000016,standards,MENTIONS,0.55
DOC-000398,TOP-000009,chemistry,CORE,0.91
DOC-000398,TOP-000008,sensory,CORE,0.94
DOC-000398,TOP-000002,cultivar,MENTIONS,0.55
DOC-000398,TOP-000006,fermentation,MENTIONS,0.55
DOC-000398,TOP-000013,geography,MENTIONS,0.55
DOC-000398,TOP-000015,industry,MENTIONS,0.55
DOC-000398,TOP-000010,microbiology,MENTIONS,0.55
DOC-000398,TOP-000005,processing,MENTIONS,0.55
DOC-000398,TOP-000001,production,MENTIONS,0.55
DOC-000398,TOP-000016,standards,MENTIONS,0.55
DOC-000399,TOP-000009,chemistry,CORE,0.91
DOC-000399,TOP-000003,terroir,SUBSTANTIVE,0.76
DOC-000399,TOP-000002,cultivar,MENTIONS,0.55
DOC-000399,TOP-000006,fermentation,MENTIONS,0.55
DOC-000399,TOP-000013,geography,MENTIONS,0.55
DOC-000399,TOP-000015,industry,MENTIONS,0.55
DOC-000399,TOP-000001,production,MENTIONS,0.55
DOC-000399,TOP-000016,standards,MENTIONS,0.55
DOC-000399,TOP-000007,storage,MENTIONS,0.55
